Volgnr.;Naam;h;b;tw;tf;Wel;Wpl;Wel-z;Wpl-z;A;r;Iy;Izwakke as;kN/m;id_1;Naam_1;Volgnr_1
1;HEA 100;96;100;5;8;72800;83000;26760;41140;2124;12;3490000;1338000;0.1667;1;HEA 100;1
2;HEA 100 corrosie 50 jr.;94.8;98.8;3.8;6.8;62436;70210.1;22202.7;34072;1780;12;2959468;1096810;0.1397;2;;2
3;HEA 100 corrosie 100 jr.;93.6;97.6;2.6;5.6;51914;57411;17840;27324;1435;12;2429578;870611;0.1126;3;;3
4;HEA 120;114;120;5;8;106300;119400;38500;58860;2534;12;6060000;2309000;0.1989;1;HEA 120;4
5;HEA 120 corrosie 50 jr.;112.8;118.8;3.8;6.8;91034;100951;32055;48933;2120;12;5134344;190411;0.1664;2;;5
6;HEA 120 corrosie 100 jr.;111.6;117.6;2.6;5.6;75452;82406;25864;39406;1706;12;4210265;152086;0.1339;3;;6
7;HEA 140;133;140;5.5;8.5;155400;173400;55600;84800;3142;12;10330000;3890000;0.2466;1;HEA 140;7
8;HEA 140 corrosie 50 jr.;131.8;138.8;4.3;7.3;134096;148032;46944;71482;2658;12;8836939;325792;0.2086;2;;8
9;HEA 140 corrosie 100 jr.;130.6;137.6;3.1;6.1;112497;122559;38546;58577;2173;12;7346062;265202;0.1706;3;;9
10;HEA 160  ;152;160;6;9;220100;245200;76900;117600;3880;15;16730000;6160000;0.3044;1;HEA 160  ;10
11;HEA 160 corrosie 50 jr.;150.8;158.8;4.8;7.8;192140;211837;65686;100284;3325;15;14487355;521554;0.261;2;;11
12;HEA 160 corrosie 100 jr.;149.6;157.6;3.6;6.6;163652;178384;54739;83444;2770;15;12241170;431349;0.2175;3;;12
13;HEA 180;171;180;6;9.5;293600;324800;102700;156400;4530;15;25100000;9250000;0.355;1;HEA 180;13
14;HEA 180 corrosie 50 jr.;169.8;178.8;4.8;8.3;257677;282405;88558;134713;3903;15;21876747;7917142;0.3063;2;;14
15;HEA 180 corrosie 100 jr.;168.6;177.6;3.6;7.1;221170;239788;74735;113511;3277;15;18644616;6636504;0.2572;3;;15
16;HEA 200;190;200;6.5;10;389000;429400;133600;203800;5380;18;36920000;13360000;0.423;1;HEA 200;16
17;HEA 200 corrosie 50 jr.;188.8;198.8;5.3;8.8;344145;377097;116117;177030;4693;18;32487331;11542052;0.3684;2;;17
18;HEA 200 corrosie 100 jr.;187.6;197.6;4.1;7.6;298821;324316;99070;150860;3997;18;28029445;9788190;0.3138;3;;18
19;HEA 220;210;220;7;11;515000;568400;177700;270600;6430;18;54100000;19550000;0.505;1;HEA 220;19
20;HEA 220 corrosie 50 jr.;208.8;218.8;5.8;9.8;460883;504552;156575;238177;5672;18;48116219;17129300;0.4453;2;;20
21;HEA 220 corrosie 100 jr.;207.6;217.6;4.6;8.6;405640;440205;135890;206445;4905;18;42105463;14784800;0.3851;3;;21
22;HEA 240 ;230;240;7.5;12;675000;744000;230700;351600;7680;21;77630000;27690000;0.603;1;HEA 240 ;22
23;HEA 240 corrosie 50 jr. ;228.8;238.8;6.3;10.8;610315;668404;205587;313087;6854;21;69819991;24547100;0.538;2;;23
24;HEA 240 corrosie 100 jr. ;227.6;237.6;5.1;9.6;544331;591413;180902;275193;6015;21;61944819;21491200;0.4722;3;;24
25;HEA 260;250;260;7.5;12.5;836000;920000;282100;430200;8680;24;104600000;36680000;0.682;1;HEA 260;25
26;HEA 260 corrosie 50 jr.;248.8;258.8;6.3;11.3;759904;829993;252695;385055;7784;24;94532019;32698800;0.611;2;;26
27;HEA 260 corrosie 100 jr.;247.6;257.6;5.1;10.1;681751;739007;223763;340668;6873;24;84400731;28820700;0.5395;3;;27
28;HEA 280;270;280;8;13;1013000;1112000;340000;518200;9730;24;136700000;47630000;0.764;1;HEA 280;28
29;HEA 280 corrosie 50 jr.;268.8;278.8;6.8;11.8;932347;1022420;306205;467104;8757;24;125307403;42684900;0.7066;2;;29
30;HEA 280 corrosie 100 jr.;267.6;277.6;5.6;10.6;831749;901234;272641;414569;7775;24;111287985;37842500;0.6103;3;;30
31;HEA 300;290;300;8.5;14;1260000;1384000;421000;642000;11250;27;182600000;63100000;0.883;1;HEA 300;31
32;HEA 300 corrosie 50 jr.;288.8;298.8;7.3;12.8;1153817;1262940;356473;543618;10187;27;162158917;56999584;0.7818;2;;32
33;HEA 300 corrosie 100 jr.;287.6;297.6;6.1;11.6;1051630;1140710;342973;522071;9162;27;151225082;51034400;0.7192;3;;33
34;HEA 320;310;300;9;15.5;1479000;1628000;466000;710000;12440;27;229300000;69850000;0.976;1;HEA 320;34
35;HEA 320 corrosie 50 jr.;308.8;298.8;7.8;14.3;1368700;1497840;426203;649102;11376;27;211328001;63674700;0.893;2;;35
36;HEA 320 corrosie 100 jr.;307.6;297.6;6.6;13.1;1255680;1365570;387288;589261;10299;27;193123372;57628400;0.8085;3;;36
37;HEA 340;330;300;9.5;16.5;1678000;1850000;496000;756000;13350;27;276900000;74360000;1.048;1;HEA 340;37
38;HEA 340 corrosie 50 jr.;328.8;298.8;8.3;15.3;1559450;1709920;456006;694778;12263;27;256372847;68127300;0.9627;2;;38
39;HEA 340 corrosie 100 jr.;327.6;297.6;7.1;14.1;1437920;1567190;416845;634414;11163;27;235531446;62026500;0.8763;3;;39
